Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,TLEVISACPO.MX,WALMEX.MX
2020-01-31,94.6154556274414,14.103789329528809,45.82500076293945,14.34607219696045,339.70892333984375,25.0006103515625,32.13603591918945,37.60773468017578,7.59499979019165,33.80786895751953,1366.9296875,160.3003387451172,216.24024963378906,66.1018295288086,21.424999237060547,105.84465026855469,42.370079040527344,186.31707763671875,34.36594772338867,20.18039321899414,92.45841979980469,63.20346450805664,122.50242614746094,40.38441467285156,197.24789428710938,191.5137939453125,41.30380630493164,53.542747497558594
2020-02-04,96.16999053955078,14.093850135803223,45.849998474121094,14.615718841552734,342.1878662109375,25.0887393951416,32.59233474731445,37.52981948852539,7.945000171661377,34.79594802856445,1364.359619140625,164.0758819580078,220.96534729003906,67.26380920410156,22.600000381469727,106.04972076416016,45.63127136230469,189.4905242919922,34.28676223754883,20.270689010620117,91.03976440429688,63.52985382080078,123.12877655029297,42.516849517822266,199.83668518066406,191.77650451660156,41.65321350097656,54.905067443847656
2020-02-05,94.92459869384766,13.954699516296387,46.2400016784668,14.524313926696777,348.6424865722656,24.996604919433594,32.30238723754883,37.088294982910156,7.75,34.708770751953125,1360.4842529296875,165.2763214111328,222.12582397460938,64.90580749511719,22.239999771118164,105.78995513916016,44.998435974121094,188.7064666748047,34.20757293701172,19.96369171142578,89.49593353271484,65.17074584960938,122.75381469726562,42.62143325805664,196.0984344482422,190.24244689941406,40.30480194091797,54.415401458740234
2020-02-06,95.05708312988281,13.577009201049805,46.099998474121094,14.332362174987793,345.80810546875,24.940521240234375,31.49435806274414,37.46056365966797,7.75,33.556007385253906,1348.3944091796875,165.59645080566406,221.94088745117188,63.982059478759766,21.399999618530273,105.87199401855469,44.213722229003906,188.36312866210938,34.2691650390625,19.774078369140625,86.9924087524414,63.24817657470703,123.58040618896484,42.2576904296875,192.9698944091797,191.48095703125,39.73393630981445,53.53304672241211
2020-02-07,95.04825592041016,13.278831481933594,45.20000076293945,14.29580020904541,343.0952453613281,24.62806510925293,31.532381057739258,37.235469818115234,7.789999961853027,32.76166915893555,1375.0755615234375,165.93539428710938,223.77174377441406,64.13763427734375,22.040000915527344,103.8941879272461,43.7412109375,189.291015625,33.952430725097656,18.925329208374023,87.15931701660156,64.33911895751953,122.76232147216797,41.93032455444336,193.10983276367188,190.1580047607422,39.3992919921875,54.299049377441406
2020-02-10,94.69053649902344,13.388162612915039,45.400001525878906,14.067286491394043,344.5732727050781,24.523910522460938,31.347007751464844,37.7808837890625,7.735000133514404,33.28961181640625,1387.0172119140625,166.16136169433594,221.09942626953125,64.46337890625,22.260000228881836,104.02178192138672,43.93949508666992,188.72964477539062,33.9128303527832,18.826005935668945,87.08979034423828,65.0455551147461,122.89016723632812,41.5938606262207,193.53964233398438,189.46836853027344,39.27626037597656,54.526912689208984
2020-02-11,95.0217514038086,13.924883842468262,45.77000045776367,14.378064155578613,356.5470275878906,24.660112380981445,32.17881393432617,37.226810455322266,8.050000190734863,33.052276611328125,1386.4537353515625,168.40219116210938,227.98826599121094,67.09364318847656,22.68000030517578,105.1155014038086,44.30654525756836,188.91989135742188,36.07279968261719,18.780858993530273,87.62294006347656,63.498558044433594,126.99757385253906,41.50292205810547,196.05845642089844,192.70069885253906,40.787078857421875,54.551151275634766
2020-02-12,93.6615219116211,13.914942741394043,46.060001373291016,15.1824312210083,350.8594970703125,24.916486740112305,32.3974609375,37.34801483154297,7.650000095367432,33.19758605957031,1376.716552734375,167.70545959472656,224.5762176513672,67.6867904663086,23.149999618530273,106.4461898803711,43.36151123046875,191.52723693847656,35.18418502807617,19.22329330444336,89.01377868652344,64.39277648925781,128.8467559814453,41.421077728271484,194.90899658203125,190.90859985351562,41.73195266723633,54.54145431518555
2020-02-13,92.73408508300781,13.119804382324219,45.900001525878906,15.209853172302246,342.1317138671875,24.5880069732666,32.074241638183594,37.7722282409668,7.28000020980835,32.79072952270508,1372.7227783203125,166.9993133544922,222.67138671875,64.90580749511719,23.229999542236328,105.75350189208984,43.445892333984375,188.76210021972656,34.383544921875,19.656700134277344,88.5687026977539,65.91294860839844,130.35508728027344,40.311668395996094,192.31019592285156,190.10169982910156,40.91503143310547,55.530479431152344
2020-02-14,97.84819793701172,12.304784774780273,45.88999938964844,15.209853172302246,345.2654724121094,24.35566520690918,31.304229736328125,37.96269226074219,7.150000095367432,32.374183654785156,1376.85498046875,166.44381713867188,223.3926239013672,64.62381744384766,23.190000534057617,104.77826690673828,43.985904693603516,190.0147705078125,34.62989044189453,19.629608154296875,86.84406280517578,64.58950805664062,127.86678314208984,40.96640396118164,194.51918029785156,191.4340362548828,40.983924865722656,56.41283416748047
